DGsolv,comment,can_smiles_solvent,can_smiles_solute
0,for_solvent_tsne,CCC(O)CC,O
0,for_solvent_tsne,Cc1cccc(OC(C)C)c1,O
0,for_solvent_tsne,c1ccnnc1,O
0,for_solvent_tsne,[Br-],O
0,for_solvent_tsne,OCC1CCCO1,O
0,for_solvent_tsne,CCCCCOCCOCCO,O
0,for_solvent_tsne,FC(F)(F)C(F)(F)Cl,O
0,for_solvent_tsne,CCCCCCCCCCCCCCCC(=O)OCC,O
0,for_solvent_tsne,BrCBr,O
0,for_solvent_tsne,C=C(C)[C@H]1CC=C(C)CC1,O
0,for_solvent_tsne,CC1CCCc2ccccc21,O
0,for_solvent_tsne,CCCCCCCCCCCCCCCC,O
0,for_solvent_tsne,CCC1(CC)CCCCC1,O
0,for_solvent_tsne,c1cncnc1,O
0,for_solvent_tsne,CCCCCC(C)C(C)C,O
0,for_solvent_tsne,CCC(C)C=O,O
0,for_solvent_tsne,C1CO1,O
0,for_solvent_tsne,CCCCCCCCCCCCCCCCC,O
0,for_solvent_tsne,CCOC=O,O
0,for_solvent_tsne,C=C(CC)c1ccccc1,O
0,for_solvent_tsne,C=C=C,O
0,for_solvent_tsne,CCC(C)(C)C,O
0,for_solvent_tsne,CCNCC,O
0,for_solvent_tsne,CC(=O)C(C)(C)C,O
0,for_solvent_tsne,O=CN1CCOCC1,O
0,for_solvent_tsne,C/C=C\CCCCCC,O
0,for_solvent_tsne,C=CCC=C,O
0,for_solvent_tsne,CC(O)C#N,O
0,for_solvent_tsne,NN,O
0,for_solvent_tsne,C=CC(C)OCCO,O
0,for_solvent_tsne,C=CC1CC=CCC1,O
0,for_solvent_tsne,CC(C)C#N,O
0,for_solvent_tsne,C=CCOC(C)=O,O
0,for_solvent_tsne,NCCNCCN,O
0,for_solvent_tsne,C=CCCCCC(C)C,O
0,for_solvent_tsne,FC(F)C(F)(Cl)Cl,O
0,for_solvent_tsne,C1=C\CC/C=C\CC/1,O
0,for_solvent_tsne,CCCCc1ccccc1,O
0,for_solvent_tsne,O=C(Cl)Cl,O
0,for_solvent_tsne,CC1=CC(=O)CC(C)(C)C1,O
0,for_solvent_tsne,C1=CCCC=C1,O
0,for_solvent_tsne,COS(=O)(=O)OC,O
0,for_solvent_tsne,c1ccc2ncccc2c1,O
0,for_solvent_tsne,FC(F)(F)Cl,O
0,for_solvent_tsne,CCCCCCCCCCc1ccccc1,O
0,for_solvent_tsne,C=C(C)C(=O)OCC,O
0,for_solvent_tsne,Clc1ccccc1,O
0,for_solvent_tsne,CC(C=O)CO,O
